City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
187,Faanui,PF,81.27,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
195,Vao,NC,71.06,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
196,Thessalon,CA,70.29,overcast clouds,46.2501,-83.5666,Carolyn Beach Inn & Restaurant
198,Sungaipenuh,ID,71.56,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
200,Belaya Gora,RU,74.14,broken clouds,68.5333,146.4167,
204,Bara,NG,78.24,overcast clouds,10.3744,10.7288,
205,Delmas,HT,83.12,few clouds,18.5447,-72.3028,Idéal Villa Hôtel
208,Corn Island,NI,82.4,scattered clouds,12.1694,-83.0418,Big Fish Guest House
211,Quatre Cocos,MU,73.51,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
229,Chake Chake,TZ,74.34,clear sky,-5.2459,39.7666,Hotel Archipelago
235,Yumen,CN,81.23,clear sky,40.2833,97.2,
239,Samana,DO,77.09,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
240,Galesong,ID,84.22,broken clouds,-5.3166,119.3661,Sapriadi Appy
242,Alta Floresta,BR,70.84,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
245,Westport,US,70.11,light rain,41.1415,-73.3579,The Westport Inn
249,Muroto,JP,73.44,overcast clouds,33.2833,134.15,Oota Ryokan
250,Ocean City,US,71.62,overcast clouds,39.2776,-74.5746,Biscayne Suites
253,Kaura Namoda,NG,84.87,broken clouds,12.5898,6.5779,Moonlight Hotel
266,San Cristobal,VE,71.78,broken clouds,7.7669,-72.225,Posada Villaven C.A.
267,Puerto Carreno,CO,79.07,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
268,Coahuayana,MX,81.36,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
271,Touros,BR,74.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
273,Marawi,PH,82.65,overcast clouds,7.9986,124.2928,Derogongan Residence
277,Sola,VU,79.52,broken clouds,-13.8833,167.55,Leumerus Bungalows
278,Mecca,SA,83.68,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
279,Peleduy,RU,81.37,few clouds,59.6289,112.7406,Гостиница «Уют»
283,Miragoane,HT,80.33,few clouds,18.4423,-73.0876,MMM K-TICHON
290,Hambantota,LK,79.14,overcast clouds,6.1241,81.1185,Bungalow 63
291,Tomatlan,MX,79.47,overcast clouds,19.9333,-105.25,Norma franco
298,Augusto Correa,BR,74.73,overcast clouds,-1.0217,-46.635,Fazenda Bacuri
299,Jiayuguan,CN,79.52,clear sky,39.8167,98.3,Jiugang Hotel - Jiayuguan
301,Zaysan,KZ,81.25,overcast clouds,47.4667,84.8667,Ерлан үй
304,Moratuwa,LK,80.62,overcast clouds,6.773,79.8816,Sa Mansion By Yoho
305,Islamkot,PK,84.52,clear sky,24.6997,70.177,Haji Hotel
307,Meulaboh,ID,79.99,light rain,4.1363,96.1285,Kost Pria
310,Holly Hill,US,80.74,broken clouds,29.2436,-81.0376,Hilton Daytona Beach Oceanfront Resort
313,Basco,PH,84.4,few clouds,20.4487,121.9702,Nathaniel's Lodge
318,Hovd,MN,73.56,few clouds,48.0056,91.6419,Hotel Khovd
319,Yaan,NG,70.54,heavy intensity rain,7.3833,8.5667,
322,Aswan,EG,80.96,broken clouds,24.0934,32.907,Nuba Nile
323,Marsh Harbour,BS,78.35,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
324,Manokwari,ID,78.57,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
325,Naze,JP,81.52,light rain,28.3667,129.4833,奄美ポートタワーホテル
332,Sibolga,ID,82.38,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
340,Tateyama,JP,71.87,moderate rain,34.9833,139.8667,Tateyama Seaside Hotel
341,Poum,NC,75.56,scattered clouds,-20.2333,164.0167,Gîte kajeon
343,Harper,LR,79.34,overcast clouds,4.375,-7.7169,Screensaver
344,Saposoa,PE,77.61,overcast clouds,-6.934,-76.7716,Hostal Primavera
345,San Juan De Los Morros,VE,77.27,overcast clouds,9.9115,-67.3538,Hotel La Montaña
346,Bulungu,CD,71.96,overcast clouds,-4.55,18.6,
350,Pueblo,US,79.29,clear sky,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
351,The Village,US,80.46,scattered clouds,35.5609,-97.5514,Renaissance Waterford Oklahoma City Hotel
359,Sakakah,SA,83.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
361,Luocheng,CN,73.74,overcast clouds,29.3848,104.0286,Luocheng Hotel
362,Babu,CN,71.22,overcast clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
364,Mumford,GH,79.7,light rain,5.2618,-0.759,Spanish Villa
